step,estimate_x,estimate_y,rmse_x,rmse_y,rmse_vx,rmse_vy
0,0.312243,0.58034,0.287757,0.0196602,5.19994,0
1,0.779913,0.722413,0.211208,0.0876373,3.81773,1.3965
2,1.19545,0.535063,0.177869,0.0808428,4.29483,1.14027
3,1.03211,0.563929,0.232328,0.0723767,3.73094,1.62848
4,1.35877,0.703667,0.242874,0.0792752,3.33855,1.75481
5,1.71966,0.648446,0.233595,0.0747625,3.04874,1.6587
6,2.03462,0.698956,0.221374,0.0779532,2.82518,1.57359
7,2.27665,0.698632,0.21315,0.0798946,2.64297,1.49142
8,2.56596,0.724785,0.204481,0.0846139,2.49237,1.4195
9,2.8481,0.709108,0.196108,0.0858565,2.3649,1.35091
10,3.09645,0.716524,0.189506,0.08716,2.25511,1.29095
11,3.39229,0.644275,0.182434,0.0836817,2.15951,1.2364
12,3.70716,0.578325,0.175302,0.0816243,2.07589,1.1932
13,3.98896,0.594126,0.168955,0.0794735,2.00191,1.15306
14,4.27109,0.583745,0.163473,0.0784142,1.93569,1.11784
15,4.5282,0.601625,0.158493,0.0771095,1.87465,1.08506
16,4.71591,0.675072,0.154044,0.0748334,1.81868,1.05273
17,4.96798,0.671294,0.150082,0.0727526,1.7677,1.02362
18,5.27045,0.666184,0.146079,0.071104,1.72057,0.997622
19,5.53204,0.67154,0.142381,0.0698433,1.67717,0.973822
20,5.83254,0.682266,0.139285,0.0688891,1.63721,0.952077
21,6.07232,0.624862,0.136197,0.0722168,1.59958,0.936466
22,6.32649,0.71538,0.133287,0.0715122,1.56443,0.917405
23,6.57681,0.744203,0.13052,0.070698,1.53157,0.899409
24,6.82284,0.744436,0.127887,0.0708143,1.50072,0.8835
25,7.06415,0.730171,0.12542,0.0730346,1.47238,0.8708
26,7.27681,0.808519,0.123515,0.072815,1.44604,0.85617
27,7.57715,0.822484,0.121303,0.0732837,1.42002,0.842841
28,7.83225,0.801356,0.119207,0.0765917,1.39536,0.832858
29,8.08009,0.818376,0.117243,0.0807971,1.37206,0.824422
30,8.3156,0.834994,0.115512,0.0860211,1.34993,0.817213
31,8.58966,0.92518,0.113724,0.087962,1.32901,0.80695
32,8.83257,0.985378,0.112074,0.089076,1.30897,0.796549
33,9.12498,1.02382,0.110443,0.0904711,1.29006,0.787093
34,9.36589,1.05535,0.108856,0.0925611,1.27187,0.778804
35,9.64723,1.12928,0.107489,0.0936496,1.25477,0.770042
36,9.9269,1.26203,0.106553,0.0927282,1.23859,0.759898
37,10.1723,1.34414,0.1056,0.0915969,1.22221,0.750152
38,10.3932,1.4237,0.104375,0.0904249,1.20644,0.740724
