step,estimate_x,estimate_y,rmse_x,rmse_y,rmse_vx,rmse_vy
91,-18.0899,9.93192,0.0638013,0.0934491,0.733568,0.752577
92,-18.184,10.1172,0.0634968,0.0939833,0.730394,0.751216
93,-18.1761,10.4165,0.0632983,0.0939036,0.726967,0.74848
94,-18.2616,10.6518,0.0629652,0.0940115,0.725151,0.745576
95,-18.3292,10.8424,0.0626789,0.0950636,0.724588,0.74354
96,-18.3832,11.0512,0.0624974,0.0970255,0.723309,0.743052
97,-18.344,11.4714,0.0622339,0.0966585,0.720903,0.739514
98,-18.3857,11.7104,0.0619221,0.0964086,0.718772,0.736334
99,-18.4175,11.9662,0.0616202,0.0961759,0.717461,0.733117
100,-18.4524,12.206,0.0614234,0.0960961,0.717512,0.729956
101,-18.4892,12.4868,0.0615373,0.0958412,0.718741,0.726591
102,-18.5013,12.7361,0.0618676,0.0956562,0.719075,0.723601
103,-18.5019,13.0389,0.0623787,0.0952403,0.719932,0.72023
104,-18.5004,13.2347,0.0631672,0.095212,0.719221,0.718137
105,-18.4249,13.5668,0.0632343,0.0947775,0.717841,0.714956
106,-18.4115,13.8306,0.0635265,0.0943393,0.716635,0.711842
107,-18.3648,14.109,0.0637245,0.0939081,0.715755,0.708584
108,-18.3329,14.3481,0.0641053,0.0934773,0.714196,0.705703
109,-18.2858,14.5767,0.0645653,0.0930936,0.713345,0.702853
110,-18.2306,14.8011,0.0650893,0.0928328,0.711413,0.700928
111,-18.123,15.1021,0.0651132,0.0924198,0.709287,0.698092
112,-18.0613,15.3561,0.0652584,0.0920101,0.707895,0.695092
113,-17.9825,15.6097,0.0654222,0.0916069,0.707003,0.692049
114,-17.9131,15.8245,0.0657985,0.0912366,0.706698,0.689089
115,-17.8205,16.0721,0.0661861,0.0908598,0.706829,0.686114
116,-17.7899,16.3074,0.0677802,0.0904962,0.709529,0.683203
117,-17.6178,16.599,0.0682006,0.0901588,0.710543,0.680792
118,-17.4938,16.7732,0.0684828,0.0898155,0.70923,0.678044
119,-17.3759,17.03,0.0687851,0.0894406,0.708263,0.675213
120,-17.2476,17.2088,0.069059,0.0891861,0.706075,0.673096
121,-17.0768,17.507,0.068976,0.0888477,0.70371,0.670341
122,-16.9298,17.6895,0.0688415,0.0884933,0.701208,0.667807
123,-16.7957,17.9144,0.0687766,0.0881365,0.699084,0.665134
124,-16.6442,18.1057,0.068707,0.0878109,0.696982,0.662534
125,-16.4831,18.262,0.0686066,0.0877242,0.695266,0.659979
126,-16.347,18.4491,0.0687087,0.0877622,0.694046,0.657428
127,-16.1585,18.6821,0.0686408,0.08757,0.692711,0.65491
128,-15.9831,18.8555,0.0685575,0.0875062,0.690848,0.652385
129,-15.7646,19.1192,0.0683087,0.0871699,0.688712,0.65017
130,-15.5849,19.2777,0.0680699,0.086877,0.686345,0.647686
131,-15.3941,19.4993,0.0678284,0.0865536,0.684116,0.645495
132,-15.1943,19.6442,0.0675791,0.0862402,0.681642,0.643065
133,-14.9556,19.8728,0.0673784,0.0859984,0.679131,0.640981
134,-14.7821,20.0102,0.0671286,0.0856924,0.676687,0.638637
135,-14.6533,20.1351,0.0671945,0.0853866,0.675008,0.636326
