step,estimate_x,estimate_y,rmse_x,rmse_y,rmse_vx,rmse_vy
98,20.5218,11.3569,0.152967,0.115144,0.975346,0.486915
99,20.5903,11.597,0.156033,0.114572,0.97584,0.48448
100,20.6404,11.8804,0.159786,0.114125,0.977165,0.48215
101,20.7065,12.1262,0.164805,0.113705,0.979943,0.479853
102,20.5886,12.4234,0.166978,0.113694,0.978952,0.478016
103,20.6305,12.6759,0.169989,0.113794,0.979153,0.47623
104,20.6005,12.9136,0.172525,0.113857,0.978774,0.474341
105,20.633,13.1642,0.175979,0.114023,0.979637,0.472528
106,20.4712,13.3134,0.176935,0.113554,0.977286,0.470334
107,20.4781,13.5506,0.178408,0.113085,0.975879,0.468158
108,20.4189,13.8298,0.179516,0.112819,0.974152,0.466117
109,20.4171,14.0726,0.181211,0.112595,0.973439,0.464164
110,20.2942,14.3243,0.181851,0.112496,0.971323,0.462397
111,20.2765,14.5682,0.182965,0.112482,0.97013,0.460779
112,20.0618,14.796,0.18255,0.112429,0.966692,0.459154
113,20.0182,15.0378,0.18231,0.112476,0.963869,0.45772
114,19.9936,15.249,0.182499,0.112377,0.962104,0.45614
115,19.9525,15.4868,0.183102,0.112372,0.961245,0.454779
116,19.9121,15.6543,0.184268,0.112008,0.961412,0.452961
117,19.8711,15.8828,0.186156,0.111681,0.962683,0.451305
118,19.6836,16.0695,0.186817,0.111246,0.961685,0.449526
119,19.6234,16.2925,0.188011,0.110835,0.961619,0.447925
120,19.4291,16.4151,0.188243,0.11048,0.959859,0.446079
121,19.3512,16.6249,0.188865,0.11013,0.958887,0.444257
122,19.1618,16.8364,0.188843,0.109765,0.956795,0.44255
123,19.0693,17.0464,0.189129,0.109383,0.9554,0.441046
124,18.8275,17.3087,0.188644,0.108963,0.952546,0.440639
125,18.7153,17.5256,0.188308,0.108598,0.950211,0.440823
126,18.3967,17.6644,0.18759,0.108173,0.946559,0.440101
127,18.2573,17.871,0.186868,0.107753,0.943124,0.439939
128,18.1557,18.0646,0.18616,0.107348,0.940318,0.440175
129,18.0213,18.2695,0.185503,0.107007,0.937956,0.441188
130,17.893,18.3688,0.184962,0.106631,0.936185,0.44068
131,17.7595,18.5599,0.184587,0.10623,0.934981,0.440836
132,17.5264,18.7315,0.183983,0.10583,0.932867,0.44135
133,17.3797,18.92,0.183494,0.105455,0.931232,0.44276
134,17.2096,19.0169,0.183064,0.105107,0.929753,0.442889
135,17.0599,19.1934,0.182834,0.104723,0.928785,0.443872
136,16.7713,19.2388,0.182218,0.104763,0.926386,0.443091
137,16.6033,19.398,0.181679,0.104672,0.924346,0.442962
138,16.3523,19.5819,0.181038,0.104358,0.92176,0.444258
139,16.1733,19.7443,0.180439,0.103988,0.919468,0.446666
140,15.9655,19.8917,0.179843,0.103624,0.917175,0.449854
141,15.7828,20.0522,0.179318,0.10336,0.915179,0.454421
142,15.5313,20.2007,0.178715,0.10327,0.912747,0.460036
143,15.3395,20.3596,0.178162,0.10358,0.91056,0.467259
144,15.17,20.4855,0.177776,0.104131,0.908893,0.474741
145,14.9811,20.6401,0.17755,0.105415,0.907508,0.48395
146,14.7404,20.718,0.177242,0.106497,0.905729,0.491493
147,14.5447,20.8625,0.177102,0.108468,0.904187,0.500761
148,14.2267,20.8361,0.176588,0.10897,0.90163,0.504934
