step,estimate_x,estimate_y,rmse_x,rmse_y,rmse_vx,rmse_vy
99,20.07,11.6858,0.216716,0.243026,0.702419,0.977369
100,20.0961,11.8976,0.216262,0.241921,0.699581,0.974308
101,20.1238,12.1143,0.215677,0.240773,0.698406,0.970718
102,20.1569,12.3316,0.214918,0.23961,0.698369,0.967176
103,20.1458,12.4828,0.214202,0.238553,0.696577,0.965503
104,20.1616,12.6853,0.21337,0.237648,0.695762,0.963794
105,20.2872,12.7306,0.212419,0.238352,0.696636,0.964346
106,20.3054,12.9197,0.211616,0.239692,0.698942,0.96474
107,20.2363,13.1927,0.2107,0.240561,0.700512,0.964504
108,20.2453,13.3843,0.209951,0.242017,0.703574,0.96408
109,20.2497,13.5309,0.20947,0.244821,0.705915,0.96525
110,20.2496,13.7129,0.209366,0.248485,0.7098,0.966113
111,20.1386,13.9921,0.208863,0.251249,0.712084,0.966355
112,20.1261,14.1756,0.20872,0.254767,0.715866,0.966278
113,20.1266,14.2857,0.209237,0.260514,0.720683,0.967097
114,20.112,14.4624,0.210468,0.267156,0.727172,0.967512
115,20.0086,14.6746,0.211386,0.273834,0.728024,0.971009
116,19.9657,14.8341,0.212854,0.281678,0.730121,0.973886
117,19.9173,15.0021,0.214931,0.29042,0.733105,0.976343
118,19.8724,15.1607,0.217823,0.300198,0.737503,0.978184
119,19.7008,15.4674,0.219599,0.307467,0.74117,0.977973
120,19.6475,15.6342,0.222199,0.315433,0.746246,0.977287
121,19.5306,15.8521,0.224724,0.322907,0.749472,0.976942
122,19.4645,16.0135,0.228107,0.331035,0.754011,0.976097
123,19.221,16.3706,0.229644,0.335918,0.753625,0.97575
124,19.1254,16.5252,0.231662,0.341431,0.754129,0.97487
125,18.9861,16.7861,0.233627,0.345682,0.756319,0.972119
126,18.8941,16.9536,0.236307,0.350203,0.759614,0.969092
127,18.7072,17.1885,0.238371,0.353871,0.761989,0.965817
128,18.6061,17.3563,0.241166,0.357679,0.765418,0.962367
129,18.4699,17.4545,0.24425,0.362646,0.766772,0.959901
130,18.354,17.6037,0.248039,0.367887,0.769035,0.9571
131,18.2971,17.7634,0.253761,0.373151,0.771993,0.95436
132,18.1801,17.9077,0.260412,0.37861,0.775904,0.951333
133,18.0124,18.0247,0.26702,0.384634,0.778223,0.948823
134,17.8838,18.1573,0.274486,0.390868,0.781386,0.945982
135,17.5542,18.5301,0.278977,0.393679,0.781989,0.942611
136,17.4081,18.67,0.284103,0.396503,0.783258,0.939181
137,17.0224,19.0291,0.286219,0.397002,0.781777,0.935779
138,16.8525,19.1691,0.28866,0.397454,0.780715,0.932491
139,16.7292,19.086,0.292144,0.400042,0.779577,0.929335
140,16.5548,19.2023,0.296011,0.402673,0.778852,0.926077
141,16.3645,19.3158,0.300065,0.405314,0.778546,0.922813
142,16.1902,19.4332,0.304603,0.407852,0.778675,0.919657
143,15.6604,19.8725,0.305194,0.407455,0.776376,0.917189
144,15.4583,19.9991,0.305922,0.406922,0.774269,0.915182
145,15.2038,20.066,0.306355,0.406561,0.771843,0.912612
146,14.9925,20.1785,0.306886,0.406077,0.769555,0.910466
147,14.5964,20.3874,0.306319,0.405047,0.766959,0.908238
148,14.3667,20.4926,0.305754,0.403943,0.764381,0.906512
149,14.0831,20.5931,0.304988,0.402775,0.76193,0.904283
150,13.8437,20.6855,0.304208,0.40156,0.75946,0.902546
151,13.6814,20.6375,0.303722,0.40067,0.757055,0.899739
152,13.4386,20.7052,0.30321,0.39974,0.754638,0.897203
153,13.1896,20.79,0.302654,0.398701,0.752317,0.894647
154,12.9425,20.8507,0.302069,0.397621,0.749984,0.89245
155,12.4528,21.0322,0.301135,0.396346,0.748779,0.890375
156,12.1857,21.0882,0.300249,0.395083,0.747505,0.888785
157,12.0222,21.0639,0.299297,0.393841,0.746034,0.886514
158,11.7568,21.1039,0.298363,0.392602,0.744532,0.884658
159,11.5355,21.0368,0.29743,0.39144,0.743108,0.882227
160,11.2688,21.0605,0.296514,0.390265,0.741674,0.880135
161,10.9517,21.0005,0.295707,0.389197,0.740825,0.87765
162,10.6783,21.0096,0.294981,0.388108,0.739981,0.875457
163,10.1724,21.116,0.295686,0.386923,0.741,0.873884
164,9.88392,21.1282,0.296763,0.385758,0.74204,0.872839
165,9.68424,21.094,0.297455,0.384599,0.742817,0.871159
166,9.39788,21.0926,0.298499,0.383468,0.743655,0.869964
167,9.16643,21.0769,0.299434,0.382368,0.744153,0.869156
168,8.88314,21.0737,0.300723,0.381334,0.744748,0.868966
169,8.83376,20.965,0.300594,0.380232,0.744148,0.867558
170,8.56157,20.9435,0.300652,0.379173,0.743659,0.866649
171,8.66711,20.7182,0.299788,0.378121,0.741748,0.864641
172,8.41608,20.6759,0.298925,0.377054,0.739906,0.86298
173,8.19794,20.5762,0.298079,0.37603,0.738204,0.860838
174,7.9457,20.5194,0.29723,0.374992,0.736595,0.858982
175,7.83114,20.4095,0.296573,0.374002,0.734845,0.856661
176,7.58353,20.3357,0.295881,0.373002,0.733192,0.854528
177,7.2872,20.2404,0.29508,0.372017,0.731908,0.852373
178,7.03547,20.1605,0.294266,0.37102,0.730769,0.850452
179,6.8131,20.0662,0.293461,0.370023,0.729739,0.848511
180,6.56203,19.9806,0.292651,0.369017,0.728882,0.846848
181,6.39545,19.8874,0.291888,0.368009,0.727932,0.845014
182,6.14772,19.7936,0.291104,0.367003,0.727171,0.843462
183,5.77745,19.6575,0.290431,0.366009,0.727696,0.841383
184,5.51967,19.5479,0.289869,0.365019,0.728504,0.839499
185,5.45181,19.3436,0.28909,0.36409,0.728235,0.837392
186,5.20579,19.223,0.288335,0.363153,0.728221,0.835447
187,5.16864,19.0975,0.287715,0.362212,0.727225,0.833765
188,4.936,18.9781,0.287044,0.361262,0.726435,0.832335
189,4.53766,18.8635,0.286371,0.360311,0.727247,0.830495
190,4.29217,18.732,0.2858,0.359367,0.728387,0.828856
191,4.20834,18.5669,0.285061,0.35843,0.728543,0.827354
192,3.97361,18.4338,0.28436,0.357506,0.728998,0.826098
193,3.68312,18.2927,0.283868,0.356599,0.730632,0.824039
194,3.44185,18.137,0.283554,0.355707,0.73264,0.822079
195,3.46894,17.9631,0.28283,0.354817,0.732688,0.8204
196,3.24595,17.8112,0.282125,0.353951,0.733032,0.818903
